Heel 00

Hydrostatics for trim 4.0m by Stern

Curves



Tables




Trim -4.00 metres 
Heel 0.00 degrees 
   
Shell thickness 12.00000 mm 
Keel thickness 14.00000 mm 
Hog (+ve)/ Sag (-ve) 0.00000 metres 
Water density 1.02500 tonnes/cu.m 


All drafts are moulded

Hydrostatics


Trim Draft Displt LCB TCB VCB WPA LCF KML KMT BML BMT IL IT TPC MTC WSA 
(m) (m) (t) (m) (m) (m) (m^2) (m) (m) (m) (m) (m) (m^4) (m^4) (t/cm) (t-m/cm) (m^2) 

-4.00 4.48 4437.97 38.326 0.000 2.501 1111.15 39.656 127.362 6.673 124.860 4.172 540610.2 18063.1 11.39 65.42 1666.75 
-4.00 4.51 4472.15 38.336 0.000 2.518 1112.68 39.626 126.877 6.666 124.359 4.148 542589.6 18098.1 11.40 65.66 1672.87 
-4.00 4.54 4506.40 38.345 0.000 2.534 1114.19 39.596 126.395 6.658 123.861 4.124 544554.2 18133.1 11.42 65.90 1678.98 
-4.00 4.57 4540.67 38.355 0.000 2.550 1115.68 39.567 125.913 6.651 123.363 4.101 546488.7 18168.0 11.44 66.13 1685.09 
                 
-4.00 4.60 4574.98 38.364 0.000 2.567 1117.16 39.539 125.432 6.645 122.865 4.078 548395.5 18202.9 11.45 66.36 1691.18 
-4.00 4.63 4609.36 38.373 0.000 2.583 1118.63 39.511 124.954 6.639 122.371 4.056 550296.6 18238.2 11.47 66.59 1697.26 
-4.00 4.66 4643.77 38.381 0.000 2.599 1120.10 39.484 124.482 6.633 121.883 4.033 552190.0 18273.7 11.48 66.82 1703.34 
-4.00 4.69 4678.23 38.389 0.000 2.615 1121.55 39.457 124.013 6.627 121.397 4.012 554072.1 18309.4 11.50 67.05 1709.42 
-4.00 4.72 4712.74 38.397 0.000 2.632 1123.00 39.430 123.545 6.622 120.913 3.990 555932.1 18345.2 11.51 67.28 1715.49 
                 
-4.00 4.75 4747.29 38.404 0.000 2.648 1124.43 39.404 123.077 6.617 120.429 3.969 557764.6 18381.0 11.53 67.50 1721.54 
-4.00 4.78 4781.87 38.411 0.000 2.665 1125.84 39.379 122.611 6.612 119.946 3.948 559577.4 18416.7 11.54 67.72 1727.59 
-4.00 4.81 4816.51 38.418 0.000 2.681 1127.24 39.354 122.148 6.608 119.467 3.927 561379.1 18452.4 11.55 67.94 1733.63 
-4.00 4.84 4851.19 38.425 0.000 2.697 1128.63 39.330 121.688 6.604 118.991 3.906 563166.1 18488.1 11.57 68.15 1739.67 
-4.00 4.87 4885.90 38.431 0.000 2.714 1129.99 39.307 121.227 6.600 118.513 3.886 564922.5 18523.5 11.58 68.36 1745.69 
                 
-4.00 4.90 4920.67 38.437 0.000 2.730 1131.34 39.284 120.768 6.596 118.038 3.866 566657.8 18558.7 11.60 68.57 1751.71 
-4.00 4.93 4955.47 38.443 0.000 2.746 1132.68 39.261 120.311 6.592 117.565 3.846 568378.8 18593.8 11.61 68.78 1757.72 
-4.00 4.96 4990.31 38.449 0.000 2.763 1134.00 39.239 119.856 6.589 117.093 3.826 570078.3 18628.6 11.62 68.99 1763.72 
-4.00 4.99 5025.19 38.454 0.000 2.779 1135.29 39.218 119.399 6.586 116.620 3.807 571743.5 18662.9 11.64 69.19 1769.70 
-4.00 5.02 5060.11 38.459 0.000 2.796 1136.57 39.197 118.945 6.583 116.149 3.787 573394.2 18697.0 11.65 69.39 1775.68 
                 
-4.00 5.05 5095.07 38.464 0.000 2.812 1137.85 39.176 118.495 6.580 115.683 3.768 575038.3 18731.5 11.66 69.59 1781.66 
-4.00 5.08 5130.07 38.469 0.000 2.829 1139.12 39.155 118.048 6.578 115.219 3.750 576667.8 18766.2 11.68 69.79 1787.63 
-4.00 5.11 5165.11 38.474 0.000 2.845 1140.37 39.135 117.603 6.576 114.758 3.731 578280.9 18800.8 11.69 69.98 1793.59 
-4.00 5.14 5200.19 38.478 0.000 2.861 1141.61 39.116 117.160 6.574 114.298 3.713 579876.5 18835.0 11.70 70.17 1799.55 
-4.00 5.17 5235.30 38.482 0.000 2.878 1142.83 39.097 116.717 6.572 113.839 3.694 581447.3 18868.5 11.71 70.36 1805.50 
                 
-4.00 5.20 5270.46 38.486 0.000 2.894 1144.02 39.078 116.275 6.570 113.381 3.676 582993.6 18901.4 11.73 70.55 1811.44 
-4.00 5.23 5305.64 38.490 0.000 2.911 1145.20 39.060 115.835 6.569 112.925 3.658 584524.1 18934.2 11.74 70.74 1817.37 
-4.00 5.26 5340.87 38.494 0.000 2.927 1146.38 39.042 115.398 6.567 112.471 3.640 586041.2 18966.9 11.75 70.92 1823.30 
-4.00 5.29 5376.13 38.498 0.000 2.944 1147.53 39.025 114.963 6.566 112.019 3.622 587539.7 18999.4 11.76 71.10 1829.23 
-4.00 5.32 5411.42 38.501 0.000 2.960 1148.68 39.008 114.530 6.565 111.569 3.605 589023.0 19031.7 11.77 71.28 1835.15 
                 
-4.00 5.35 5446.75 38.504 0.000 2.977 1149.80 38.991 114.097 6.564 111.121 3.587 590483.8 19063.3 11.79 71.46 1841.06 
-4.00 5.38 5482.11 38.507 0.000 2.993 1150.91 38.974 113.666 6.563 110.673 3.570 591925.3 19094.8 11.80 71.63 1846.96 
-4.00 5.41 5517.51 38.510 0.000 3.010 1152.01 38.958 113.238 6.563 110.229 3.553 593355.1 19126.3 11.81 71.81 1852.86 
-4.00 5.44 5552.94 38.513 0.000 3.026 1153.11 38.941 112.813 6.562 109.787 3.536 594773.8 19157.6 11.82 71.98 1858.76 
-4.00 5.47 5588.41 38.516 0.000 3.043 1154.18 38.926 112.391 6.562 109.348 3.519 596177.2 19188.5 11.83 72.15 1864.65 
                 
-4.00 5.50 5623.90 38.518 0.000 3.059 1155.24 38.911 111.969 6.562 108.910 3.503 597560.2 19218.9 11.84 72.31 1870.53 
-4.00 5.53 5659.43 38.521 0.000 3.075 1156.28 38.896 111.549 6.562 108.473 3.486 598922.9 19248.8 11.85 72.48 1876.41 
-4.00 5.56 5695.00 38.523 0.000 3.092 1157.32 38.882 111.132 6.562 108.040 3.470 600282.3 19278.9 11.86 72.64 1882.29 
-4.00 5.59 5730.59 38.525 0.000 3.108 1158.36 38.868 110.720 6.562 107.612 3.454 601639.4 19309.3 11.87 72.81 1888.16 
-4.00 5.62 5766.20 38.527 0.000 3.125 1159.39 38.854 110.311 6.563 107.186 3.438 602980.2 19339.6 11.88 72.97 1894.03 
                 
-4.00 5.65 5801.87 38.529 0.000 3.141 1160.41 38.841 109.903 6.563 106.762 3.422 604310.0 19369.8 11.89 73.13 1899.90 
-4.00 5.68 5837.55 38.531 0.000 3.158 1161.41 38.828 109.498 6.564 106.340 3.406 605623.0 19399.4 11.90 73.29 1905.76 
-4.00 5.71 5873.28 38.533 0.000 3.174 1162.40 38.816 109.093 6.565 105.919 3.391 606919.4 19428.2 11.91 73.45 1911.62 
-4.00 5.74 5909.02 38.535 0.000 3.191 1163.37 38.805 108.692 6.566 105.501 3.375 608201.8 19457.1 11.92 73.60 1917.47 
-4.00 5.77 5944.80 38.536 0.000 3.207 1164.34 38.794 108.293 6.567 105.086 3.360 609477.6 19486.1 11.93 73.76 1923.32 
                 
-4.00 5.80 5980.61 38.538 0.000 3.224 1165.29 38.783 107.893 6.568 104.669 3.345 610717.0 19514.4 11.94 73.91 1929.16 
-4.00 5.83 6016.43 38.539 0.000 3.240 1166.20 38.773 107.490 6.570 104.249 3.329 611911.8 19542.0 11.95 74.05 1934.99 
-4.00 5.86 6052.30 38.540 0.000 3.257 1167.10 38.764 107.088 6.571 103.831 3.314 613089.6 19569.4 11.96 74.19 1940.82 
-4.00 5.89 6088.19 38.542 0.000 3.273 1167.98 38.755 106.685 6.572 103.412 3.299 614237.7 19596.4 11.97 74.33 1946.64 
